content,score,sentiment,sentiment_label
ek number ka bekar App hai. iye id suspend kar diya 🤬🤬🤬🤬🤬🤬🤬,1,0.0,Neutral
kodamsuresh. ledistiolars,5,0.0,Neutral
id ban again and again without any reason no one support no one can reply my email and solve this problem 🤬🤬,1,0.0,Neutral
Report system not work useless,4,-0.5,Negative
❤ 😍 💖 love Instagram,5,0.5,Positive
Very Good Instagram,2,0.9099999999999999,Positive
why instagram why are you suppand my account without any reason you suspend my 3 4 accounts why and my one more was suspended why give me a reason,2,0.5,Positive
more interesting and enjoyable,5,0.5,Positive
👍👍👍👍👍,4,0.0,Neutral
too good👌🏻👌🏻❤️,5,0.0,Neutral
This app is and also can also costly experience for no reason why and you can browseing your favourite art works any thing you can browseing and wouldn't recommend this app because it does work on Mobile phones I'm giving reviews 4 out of 3star's and 3 out of 4star's and 4out of 4star's Excellent and fantastic and app wouldn't recommend anyone shouldn't get this app this app cost that's all My Rate this app reviews from Miss Sarah Rose Supronas.Yes I'm happy this app.StillKeep things positive,4,0.6054545454545454,Positive
❤️❤️❤️❤️❤️❤️❤️,5,0.0,Neutral
"this is so frustrating two of my accounts have been suspended or disabled for no absolute reason. This is getting annoying instagram, you're not giving us a response too and your AI is just having a lot of problems so please fix it",1,-0.375,Negative
You summited an appeal Dear Instagram team I am having a problem when I went to open my Instagram account they show choose Summit it appeal and I still follow your community guidelines please fix my problem thank you,5,0.0,Neutral
super,5,0.3333333333333333,Positive
This app help me to make friends,4,0.0,Neutral
I really like this app but I don't know why people are telling it trash,5,0.2,Positive
very nice and also safety,5,0.78,Positive
very nice i am full happy,4,0.6433333333333333,Positive
It's very good but why are you not making my videos viral?,5,0.9099999999999999,Positive
bat nasa giled instants hahaha pang ewan imbes na kilegin sa kausap e mapapawe ng asem sa instant ng ropa,1,0.1,Positive
f***u aPp,1,0.0,Neutral
I love Instagram,5,0.5,Positive
The best social media app,5,0.5166666666666667,Positive
good app,5,0.7,Positive
it good,5,0.7,Positive
I like it this aap but It Distracts my study,1,0.0,Neutral
id suspended,1,0.0,Neutral
super app,5,0.3333333333333333,Positive
wow,5,0.1,Positive
problem alorgythem mane problem alorgythem,1,0.0,Neutral
mera account shadow ban h please thik kar do😍😍😍😍😍😍😍😍😍😍😍,5,0.0,Neutral
wow,5,0.1,Positive
Wonderful for your type of people finding...,5,1.0,Positive
"I'm having trouble opening my Instagram since today evening ,it was said that there was some bug in the app.I hope you fix it soon",3,-0.2,Negative
Add a suspense Kar Di Hai Meri Usko Sahi karne ke bare mein bataen Aisi kaun si galti kar di thi Jo Id se send kar do,5,0.05,Positive
kuldeeppopawat.007,5,0.0,Neutral
nice aap,5,0.6,Positive
nice,5,0.6,Positive
mere 6 account suspended ho gaye he yarr kyu,1,-0.5,Negative
very excellent platform 💯,5,1.0,Positive
isse g*ndm*ra app nahi dekha Abe khud ki hi id login nahi kar paa rha hoon password change bhi Kiya tab bhi wrong password,1,-0.5,Negative
👍,5,0.0,Neutral
nice👌👌,5,0.0,Neutral
"Remove this sidebar from message box, this new update is so irritating",1,-0.13181818181818183,Negative
"Meta suspended my account because its AI falsely accused me of something disgusting. Please stop using Meta AI to monitor accounts, it's defaming people's characters and I want my accounts reinstated!",2,-0.7000000000000001,Negative
entertainment,5,0.0,Neutral
"Dear Instagram Team, I hope you are doing well. My account (bittu_vaishnav11) has recently been deactivated, and I believe this may have happened by mistake. I have always made sure to follow all community guidelines and terms of service while using the platform. I kindly request you to review my account and verify if there has been any misunderstanding. If possible, please reactivate my account at the earliest. This account is very important to me, and I would truly appreciate your support in",5,0.324,Positive
this is a good app this Best friend,5,0.85,Positive
love you Instagram,5,0.5,Positive
Addicting...,5,0.0,Neutral
nice,5,0.6,Positive
very good👍,5,0.2,Positive
very very good app 👌🏻 👍 😊,5,0.9099999999999999,Positive
instagram suspend problem h,5,0.0,Neutral
awsome features updated,5,0.0,Neutral
bohot mast app h lekin youtube on top,5,0.5,Positive
duggi dhunde ki jagha,5,0.0,Neutral
ok,5,0.5,Positive
please solve comment see more option we are pressing but it not working,5,0.5,Positive
bste..instagam...👌❤️,5,0.0,Neutral
very good app thanks for Instagram owner,5,0.5549999999999999,Positive
best 💯,5,1.0,Positive
Account disable,1,0.0,Neutral
it's so useful,5,0.3,Positive
tge best social media platform 🙌 👌 👏 💯,5,0.5166666666666667,Positive
"Please fix your app, a lot of people have been getting banned for no reason. it's pissing me off, imagine my new account hasn't even lasted a week and suddenly you ban without any reason.",1,0.06818181818181818,Positive
good app very interest super,5,0.41111111111111104,Positive
I love you 😚 everybody 💞😘,5,0.5,Positive
2m followers,5,0.0,Neutral
"this app is soo good, but I request u Instagram plz make my reels go viral 🫶",4,0.7,Positive
👍,5,0.0,Neutral
sahil Bharwad 66,1,0.0,Neutral
Where's the racism so I can avoid it,5,0.0,Neutral
jo id bna rha hu sari id delete kar rhe hai is se acha toh me facebook chla lu par facebook ka bhi udva diya in logo ne Instagram company app band krdo apna aur kripya krke aisa bakwas app koi install na karen,1,0.0,Neutral
can you upload your video will start,5,0.0,Neutral
good,5,0.7,Positive
that’s application obsoletely good,4,0.7,Positive
منعتنهتونهنافلةتنن,5,0.0,Neutral
Instagram Mera account report Ho Gaya,2,0.0,Neutral
Perfect app,5,1.0,Positive
Smooth and cool app,5,0.375,Positive
love you,5,0.5,Positive
Best app,3,1.0,Positive
my id suspended without any reason and he dost not take sch id card and etc,1,0.0,Neutral
cant upload tax info. every time some error occurs,1,0.0,Neutral
super super 🤟🏻,5,0.3333333333333333,Positive
I love it,5,0.5,Positive
my filter not showing id name xyz. __hero,5,0.0,Neutral
good aap,5,0.7,Positive
reel reach,5,0.0,Neutral
good,5,0.7,Positive
best app,5,1.0,Positive
ye app me thora sa galti hone par account band kar deta hai,1,0.0,Neutral
it helps social life,4,0.03333333333333333,Positive
is a vere goooood,5,0.0,Neutral
good,4,0.7,Positive
I can't sow is ristyali filter with instagram story,1,0.0,Neutral
"this app good for socialism ,but nowadays instagram spending ids without any Pacific reason.. if you made new I'd from other emails or phone number still instgram spend your I'd ....I am very disappoint with this mistake 😡",5,0.2278409090909091,Positive
KalluKumar Chauhan ji ❣️,5,0.0,Neutral
"I was suspended for no reason, and no matter how I made a new account, it directly became suspended for the reason that it's connected to my suspended account. Currently disappointed knowing that I badly need to have my Instagram account for school purposes. How I wish, I can still retrieve my account. I badly and urgently need it.",1,-0.38272727272727264,Negative
nicy,5,0.0,Neutral
Shahid babu Instagram,1,0.0,Neutral
absolutely garbage There’s a lot of inappropriate content and So many people are getting banned unfairly because of AI moderation,1,0.06666666666666665,Positive
"🤬😥 I can’t take it anymore without reporting this issue. I’m using a Redmi Note 13 Pro+ 5G (Indian variant), which is one of the best smartphones I’ve owned. However, while using the Instagram app, the scrolling experience is not smooth at all. I don’t know what kind of bug this is in the Facebook app, but it seriously affects the user experience. Can Instagram fix this problem in a future update?",1,0.21333333333333332,Positive
lucky Ali Khan Adrian levy Vasundhara Raje to discuss with you too baba khai la ki mo,5,0.3333333333333333,Positive
Learn more,5,0.5,Positive
"most powerful platform for entertainment and learning and virtual community, brand building",5,0.4,Positive
💗🥂🖇️,5,0.0,Neutral
very good,5,0.9099999999999999,Positive
best app ever so guys yea I love this app very very much good luck to the people who will use the app because u can do almost anything but yea love love the app very much the best wow impress alot bye,5,0.57,Positive
good,5,0.7,Positive
nice,5,0.6,Positive
nice experience 😄,4,0.6,Positive
good,4,0.7,Positive
feeling good,5,0.7,Positive
Dowwnlode nhi ho rha h,5,0.0,Neutral
great,5,0.8,Positive
meri ID suspend hogi,5,0.0,Neutral
very cool ngl,5,0.45499999999999996,Positive
